Title,Price,Bedrooms,Bathrooms,Property_Type,BER_Rating,Latitude,Longitude,Address,Country
"'Horizons', Banna East, Ardfert, Banna, Co. Kerry, V92HT65",499000,4,6.0,Detached,B3,52.359776,-9.797407,"'Horizons', Banna East, Ardfert, Banna, Co. Kerry, V92HT65",Kerry
"Ivella, Rectory Road, Enniscorthy, Co. Wexford, Y21WN30",925000,4,3.0,End of Terrace,SI_666,52.504937,-6.562804,"Ivella, Rectory Road, Enniscorthy, Co. Wexford, Y21WN30",Wexford
"Grey's Corner, Ferrybank, Co. Wexford, Y35XNP4",895000,5,2.0,Detached,B3,52.3486,-6.456929,"Grey's Corner, Ferrybank, Co. Wexford, Y35XNP4",Wexford
"Lindon Lodge, Luddenmore, Ballyneety, Co. Limerick, V35EE76",445000,5,2.0,Detached,D1,52.5708405,-8.5358043,"Lindon Lodge, Luddenmore, Ballyneety, Co. Limerick, V35EE76",Limerick
"Ballard, Barna, Co. Galway, H91P22T",1250000,4,4.0,Detached,D2,53.257378,-9.134137,"Ballard, Barna, Co. Galway, H91P22T",Galway
"11 Birchfield Lawn, Dublin 14, Kilmacud, Co. Dublin, D14R6C5",595000,4,1.0,Semi-D,D1,53.291674,-6.23159,"11 Birchfield Lawn, Dublin 14, Kilmacud, Co. Dublin, D14R6C5",Dublin
"41 Monaleen Heights, Castletroy, Limerick City, Co. Limerick, V94TFT6",565000,4,3.0,Detached,B3,52.662889,-8.554347,"41 Monaleen Heights, Castletroy, Limerick City, Co. Limerick, V94TFT6",Limerick
"48 Elderwood Park, Boreenmanna Road, Ballintemple, Co. Cork, T12E621",295000,2,2.0,Apartment,C2,51.892087,-8.441552,"48 Elderwood Park, Boreenmanna Road, Ballintemple, Co. Cork, T12E621",Cork
"19 Beline Way, Banagher Court, Piltown, Co. Kilkenny, E32FK76",210000,3,3.0,Semi-D,C2,52.353025,-7.332319,"19 Beline Way, Banagher Court, Piltown, Co. Kilkenny, E32FK76",Kilkenny
"80 Ramleh Park, Milltown, Dublin 6, D06C8Y1",1100000,4,2.0,Semi-D,D1,53.313596,-6.24466,"80 Ramleh Park, Milltown, Dublin 6, D06C8Y1",Dublin
"8 Oak View, Ballacollig, Mountmellick, Co. Laois, R32Y227",230000,3,3.0,Semi-D,C3,53.120993,-7.315643,"8 Oak View, Ballacollig, Mountmellick, Co. Laois, R32Y227",Laois
"4 The Terrace, Borrisokane, Nenagh, Co. Tipperary, E45XK53",565000,5,3.0,Semi-D,,52.990565,-8.131095,"4 The Terrace, Borrisokane, Nenagh, Co. Tipperary, E45XK53",Tipperary
"FORTH MOUNTAIN STUD, The Cools, Barntown, Co. Wexford, Y35YP57",AMV: 1400000,4,5.0,Detached,C2,52.315785,-6.582969,"FORTH MOUNTAIN STUD, The Cools, Barntown, Co. Wexford, Y35YP57",Wexford
"85 Westbrook, Ballymoneen Road, Knocknacarra, Co. Galway, H91DCR9",585000,4,3.0,Detached,C2,53.261893,-9.121493,"85 Westbrook, Ballymoneen Road, Knocknacarra, Co. Galway, H91DCR9",Galway
"209a Windmill Road, Crumlin, Dublin 12, D12Y3C7",450000,3,2.0,Detached,C3,53.321495,-6.314768,"209a Windmill Road, Crumlin, Dublin 12, D12Y3C7",Dublin
"12 Cashelmara, Knocknacarra, Co. Galway, H91NDE0",875000,5,5.0,Detached,B3,53.260346,-9.10691,"12 Cashelmara, Knocknacarra, Co. Galway, H91NDE0",Galway
"8 Sunnyside, Ballypatrick, Ballypatrick, Co. Tipperary, E91W9P8",440000,6,4.0,Detached,B3,52.390385,-7.5422,"8 Sunnyside, Ballypatrick, Ballypatrick, Co. Tipperary, E91W9P8",Tipperary
"Misty Moorings, Cappagh, Kinsale, Co. Cork, P17HW73",1600000,5,4.0,Detached,C2,51.701195,-8.544927,"Misty Moorings, Cappagh, Kinsale, Co. Cork, P17HW73",Cork
"Dundela House, Golf Links Road, Castletroy, Co. Limerick, V94W0YF",850000,4,4.0,Detached,C2,52.656179,-8.566663,"Dundela House, Golf Links Road, Castletroy, Co. Limerick, V94W0YF",Limerick
"60 Garranbawn, Murroe, Co. Limerick, V94NW5D",290000,3,3.0,Semi-D,B3,52.648681,-8.396758,"60 Garranbawn, Murroe, Co. Limerick, V94NW5D",Limerick
"Knockgraffon, Cahir, New Inn, Co. Tipperary, E21NX57",AMV: 150000,3,2.0,Detached,F,52.420738,-7.922074,"Knockgraffon, Cahir, New Inn, Co. Tipperary, E21NX57",Tipperary
"Croan, Dunnamaggan, Co. Kilkenny, R95AT86",425000,4,2.0,Detached,C1,52.474167,-7.264213,"Croan, Dunnamaggan, Co. Kilkenny, R95AT86",Kilkenny
"19 Ashe Road, Kingsmeadow, Waterford City, Co. Waterford, X91X22R",265000,4,2.0,Terrace,C3,52.249391,-7.127102,"19 Ashe Road, Kingsmeadow, Waterford City, Co. Waterford, X91X22R",Waterford
"2 Merchants Quay, Merchants Road, City Centre, Galway City, Co. Galway, H91CC83",325000,2,2.0,Apartment,D1,53.270779,-9.05254,"2 Merchants Quay, Merchants Road, City Centre, Galway City, Co. Galway, H91CC83",Galway
"86 Caislean Na Habhann, Castletroy, Co. Limerick, V94KN6W",420000,4,4.0,Semi-D,B1,52.656517,-8.570609,"86 Caislean Na Habhann, Castletroy, Co. Limerick, V94KN6W",Limerick
"Townparks, Castledermot, Castledermot, Co. Kildare, R14WD62",435000,3,2.0,Detached,B3,52.90394,-6.835962,"Townparks, Castledermot, Castledermot, Co. Kildare, R14WD62",Kildare
"14 Adelphi Quay, Waterford City, Co. Waterford, X91AR2D",280000,4,2.0,Terrace,C3,52.259238,-7.102423,"14 Adelphi Quay, Waterford City, Co. Waterford, X91AR2D",Waterford
"Kiljames House On Circa 10.91 Acres, Kiljames Lower, Thomastown, Co Kilkenny, R95DH36",1350000,5,8.0,Detached,B2,52.537733,-7.10486,"Kiljames House On Circa 10.91 Acres, Kiljames Lower, Thomastown, Co Kilkenny, R95DH36",Kilkenny
"Greenanstown, Stamullen, Co. Meath, K32FX24",Price on Application,4,2.0,Detached,D1,53.618901,-6.325605,"Greenanstown, Stamullen, Co. Meath, K32FX24",Meath
"32 Cartur Mor, Clybaun Road, H91TFY7",400000,4,3.0,Semi-D,D1,53.275508,-9.104506,"32 Cartur Mor, Clybaun Road, H91TFY7",Galway
"Lisnagar Demesne, Rathcormac, Co. Cork, P61DA00",1700000,5,7.0,Detached,C1,52.075556,-8.298872,"Lisnagar Demesne, Rathcormac, Co. Cork, P61DA00",Cork
"33 The Park, Janeville, Carrigaline, Co. Cork, P43N524",445000,3,3.0,Semi-D,A3,51.828693,-8.395451,"33 The Park, Janeville, Carrigaline, Co. Cork, P43N524",Cork
"8 Oblate Drive, Inchicore, Dublin 8, D08V6FV",325000,2,1.0,End of Terrace,D2,53.336208,-6.32927,"8 Oblate Drive, Inchicore, Dublin 8, D08V6FV",Dublin
"23 Pine Road, The Woodlands, Portlaw, Co. Waterford, X91CHK3",360000,3,2.0,Detached,B3,52.292848,-7.319326,"23 Pine Road, The Woodlands, Portlaw, Co. Waterford, X91CHK3",Waterford
"115 Carrigweir, Tuam, Tuam, Co. Galway, H54YA24",375000,4,4.0,Detached,B3,53.51468,-8.862157,"115 Carrigweir, Tuam, Tuam, Co. Galway, H54YA24",Galway
"8 Wyse's Cottages, Blarney Street, Sunday's Well, Co. Cork, T23F8N8",275000,2,1.0,End of Terrace,C1,51.901305,-8.489715,"8 Wyse's Cottages, Blarney Street, Sunday's Well, Co. Cork, T23F8N8",Cork
"25 The Hibernian, The Gasworks, South Lotts Road, Dublin 4, D04P6K2",395000,1,1.0,Apartment,B3,53.338922,-6.235775,"25 The Hibernian, The Gasworks, South Lotts Road, Dublin 4, D04P6K2",Dublin
"21 The Granary, Abbeyknockmoy, Monivea, Co. Galway, H54XN47",330000,4,3.0,Semi-D,C2,53.436233,-8.747767,"21 The Granary, Abbeyknockmoy, Monivea, Co. Galway, H54XN47",Galway
"C. 33.5 Acres At Balinaclough South, Fenor, Co. Waterford, Fenor, Co. Waterford",Price on Application,0,0.0,Site,,52.191657,-7.201547,"C. 33.5 Acres At Balinaclough South, Fenor, Co. Waterford, Fenor, Co. Waterford",Waterford
"27 Rocklands Avenue, Ballybane, Galway City, Co. Galway, H91KWP8",330000,4,2.0,Semi-D,D1,53.285656,-9.010163,"27 Rocklands Avenue, Ballybane, Galway City, Co. Galway, H91KWP8",Galway
"Rossaveel Upper, Ballynahown, Co. Galway, H91WP9C",475000,5,4.0,Detached,B1,53.27482,-9.549256,"Rossaveel Upper, Ballynahown, Co. Galway, H91WP9C",Galway
