feature1,feature2,correlation
Price,Price,1.0
Price,Bedrooms,0.5249200467565427
Price,Bathrooms,0.525648567421674
Price,Estimated_Area,0.5564296790307081
Price,Distance_to_Center,-0.025925751716506854
Price,BER_Score,-0.1560680520530607
Bedrooms,Price,0.5249200467565427
Bedrooms,Bedrooms,1.0
Bedrooms,Bathrooms,0.7516707750170682
Bedrooms,Estimated_Area,0.973596035869695
Bedrooms,Distance_to_Center,-0.06066273276379752
Bedrooms,BER_Score,0.008778935384757238
Bathrooms,Price,0.525648567421674
Bathrooms,Bedrooms,0.7516707750170682
Bathrooms,Bathrooms,1.0
Bathrooms,Estimated_Area,0.8823816940551197
Bathrooms,Distance_to_Center,-0.09538268020345753
Bathrooms,BER_Score,-0.1780451656760484
Estimated_Area,Price,0.5564296790307081
Estimated_Area,Bedrooms,0.973596035869695
Estimated_Area,Bathrooms,0.8823816940551197
Estimated_Area,Estimated_Area,1.0
Estimated_Area,Distance_to_Center,-0.07629220488461158
Estimated_Area,BER_Score,-0.05536139243312571
Distance_to_Center,Price,-0.025925751716506854
Distance_to_Center,Bedrooms,-0.06066273276379752
Distance_to_Center,Bathrooms,-0.09538268020345753
Distance_to_Center,Estimated_Area,-0.07629220488461158
Distance_to_Center,Distance_to_Center,1.0
Distance_to_Center,BER_Score,-0.004592927343252111
BER_Score,Price,-0.1560680520530607
BER_Score,Bedrooms,0.008778935384757238
BER_Score,Bathrooms,-0.1780451656760484
BER_Score,Estimated_Area,-0.05536139243312571
BER_Score,Distance_to_Center,-0.004592927343252111
BER_Score,BER_Score,1.0
